id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
113,Severe Weather,2014,1/7/2014,1/8/2014,Duke Energy Progress,North Carolina,SERC,"severe weather, cold",16:15:00,13:20:00,,
114,Severe Weather,2014,1/7/2014,1/7/2014,Duke Energy Progress,North Carolina,SERC,"severe weather, cold, public appeal",07:58:00,11:00:00,,14435.0
115,Severe Weather,2014,1/7/2014,1/8/2014,Duke Energy Carolinas,"Piedmont North Carolina, Piedmont South Carolina",SERC,"severe weather, cold",09:30:00,09:30:00,,
116,Fuel Supply,2014,1/7/2014,1/9/2014,"Prairie Power, Inc.",Illinois,RFC,"fuel supply emergency, natural gas",10:59:00,09:00:00,,
117,Severe Weather,2014,1/7/2014,1/8/2014,PJM Interconnection,Unknown,RFC,"severe weather, cold",21:00:00,09:00:00,,
118,Severe Weather,2014,1/7/2014,1/7/2014,Tennessee Valley Authority,Northeast Tennessee,SERC,"severe weather, cold",06:00:00,08:30:00,,
119,Severe Weather,2014,1/7/2014,1/7/2014,Memphis Light Gas and Water Division,Tennessee,SERC,"severe weather, cold",06:00:00,08:30:00,,
120,Severe Weather,2014,1/7/2014,1/7/2014,PJM Interconnection,Pennsylvania,RFC,"severe weather, cold",06:18:00,06:19:00,,
121,Severe Weather,2014,1/6/2014,1/6/2014,Louisville Gas & Electric Co,Kentucky,RFC,"severe weather, cold",22:00:00,22:01:00,,
122,Severe Weather,2014,1/6/2014,1/7/2014,PJM Interconnection,Unknown,RFC,"severe weather, cold",20:45:00,21:00:00,,
123,Severe Weather,2014,1/6/2014,1/6/2014,"UGI Utilities, Inc",Pennsylvania,RFC,"severe weather, cold",19:50:00,20:49:00,62000.0,200.0
124,Severe Weather,2014,1/6/2014,1/6/2014,Delmarva Power & Light Company,Delaware,RFC,"severe weather, cold",19:52:00,20:45:00,,
125,Severe Weather,2014,1/6/2014,1/6/2014,Potomac Electric Power Co,District of Columbia,RFC,"severe weather, cold",19:50:00,20:44:00,,
126,Severe Weather,2014,1/6/2014,1/6/2014,PJM Interconnection,Unknown,RFC,"severe weather, cold",19:50:00,20:44:00,,
127,Severe Weather,2014,1/6/2014,1/6/2014,PPL Electric Utilities Corp,Pennsylvania,RFC,"severe weather, cold",19:50:00,20:44:00,,
128,Vandalism,2014,1/6/2014,1/6/2014,PacifiCorp,Utah,RFC,vandalism,14:37:00,14:38:00,,
129,Severe Weather,2014,1/6/2014,1/7/2014,ERCOT,Texas,TRE,"severe weather, cold",07:01:00,09:00:00,,
130,Physical Attack,2013,12/30/2013,12/30/2013,PacifiCorp,Salt Lake County Utah,WECC,"vandalism, physical",11:00:00,11:01:00,,
131,Physical Attack,2013,12/30/2013,1/1/2014,Arizona Public Service Co,North of Roosevelt lake Arizona,WECC,"vandalism, physical",11:00:00,08:00:00,,
132,Physical Attack,2013,12/27/2013,12/27/2013,Arizona Public Service Co,Gilabend Arizona,WECC,"vandalism, physical",09:43:00,12:43:00,,
133,Severe Weather,2013,12/23/2013,12/25/2013,Central Maine Power Co,Central Maine Maine,NPCC,"severe weather, winter storm",15:20:00,11:32:00,52500.0,
134,Severe Weather,2013,12/22/2013,12/24/2013,Niagara Mohawk Power Corp.,Frontier/Genesee/Northern New York,NPCC,"severe weather, winter storm",06:16:00,23:59:00,59000.0,
135,Severe Weather,2013,12/22/2013,12/28/2013,Consumers Energy Co,"Southern Lower Penninsula, Michigan",RFC,"severe weather, winter storm",03:28:00,23:45:00,50000.0,
136,Severe Weather,2013,12/22/2013,12/25/2013,Detroit Edison Co,Michigan,RFC,"severe weather, winter storm",06:30:00,05:12:00,140735.0,350.0
137,Fuel Supply,2013,12/13/2013,12/27/2013,City of Garland,Texas,TRE,"fuel supply emergency, coal",11:00:00,11:00:00,,
138,Fuel Supply,2013,12/13/2013,12/27/2013,Texas Municipal Power Agency,Texas,TRE,"fuel supply emergency, coal",11:00:00,11:00:00,,
139,Physical Attack,2013,12/10/2013,12/11/2013,Arizona Public Service Co,Arizona,WECC,"vandalism, physical",01:01:00,01:01:00,,
140,Severe Weather,2013,12/9/2013,12/9/2013,Dominion Virginia Power,Virginia Service Territory,SERC,"severe weather, winter storm",06:54:00,14:22:00,88000.0,293.0
141,Severe Weather,2013,12/6/2013,12/11/2013,Oncor Electric Delivery Company LLC,"Greater Houston, Texas",TRE,"severe weather, winter storm",01:51:00,12:00:00,881000.0,
142,Physical Attack,2013,12/6/2013,12/6/2013,PacifiCorp,"Saratoga, Utah",WECC,"vandalism, physical",08:47:00,08:49:00,,
143,Firm Load,2013,12/4/2013,12/4/2013,WECC - Loveland,"Idaho Falls Area Idaho, Utah-Idaho Border Utah",WECC,load shedding,05:00:00,16:17:00,,150.0
144,Physical Attack,2013,11/24/2013,11/24/2013,Pacific Gas & Electric Co,Salt Lake County Utah,WECC,"vandalism, physical",07:38:00,07:39:00,,
145,Severe Weather,2013,11/21/2013,11/22/2013,Pacific Gas & Electric Co,Northern California,WECC,"severe weather, wind",19:45:00,03:20:00,89500.0,150.0
146,Physical Attack,2013,11/20/2013,11/20/2013,Pacific Gas & Electric Co,Salt Lake County Utah,WECC,"vandalism, physical",03:08:00,03:09:00,,
147,Severe Weather,2013,11/17/2013,11/17/2013,Commonwealth Edison Co,Entire ComEd Territory Illinois,RFC,"severe weather, thunderstorm",14:31:00,22:30:00,190000.0,
148,Severe Weather,2013,11/17/2013,11/20/2013,Detroit Edison Co,Michigan,RFC,"severe weather, winter storm",07:00:00,18:54:00,325325.0,
149,Severe Weather,2013,11/17/2013,11/18/2013,American Electric Power,"Indiana, Michigan",RFC,"severe weather, thunderstorm",16:19:00,18:00:00,77346.0,
150,Severe Weather,2013,11/17/2013,11/20/2013,Duke Energy Midwest,Central Indiana,RFC,"severe weather, thunderstorm",16:47:00,16:47:00,61705.0,
151,Severe Weather,2013,11/17/2013,11/21/2013,Consumers Energy Co,Entire Lower Peninsula Michigan,RFC,"severe weather, thunderstorm",16:45:00,16:45:00,50000.0,
152,Voltage Reduction,2013,11/17/2013,11/17/2013,City of Rochelle,"Rochelle, Indiana",RFC,voltage reduction,12:35:00,13:40:00,7500.0,38.0
153,Severe Weather,2013,11/17/2013,11/20/2013,Northern Indiana Public Service Company,North Central Indiana,RFC,"severe weather, thunderstorm",13:06:00,13:06:00,75065.0,
154,Severe Weather,2013,11/17/2013,11/20/2013,Duke Energy Indiana Inc,Central Indiana,RFC,"severe weather, tornado",16:47:00,11:59:00,61705.0,535.0
155,Severe Weather,2013,11/17/2013,11/20/2013,Ameren Missouri,"Central Missouri, Central Illinois",SERC,"severe weather, tornado",12:35:00,11:00:00,200000.0,
156,Physical Attack,2013,11/16/2013,11/16/2013,PacifiCorp,"Salt Lake County, Utah",WECC,"vandalism, physical",15:15:00,15:16:00,,
157,Electrical System Separation,2013,11/12/2013,11/12/2013,Pacific Gas & Electric Co,"Valle, California",WECC,islanding,14:04:00,14:05:00,48400.0,55.0
